"Carimbo de data/hora","Em uma escala de 1 a 5, onde 1 é ""nada relevante"" e 5 é ""extremamente relevante"", quão relevante você considera o PPE na inserção de jovens no mundo do trabalho na Bahia?","Qual sua principal atribuição como Ponto Focal do PPE? ","Em uma escala de 1 a 5, onde 1 é ""nada desafiador e 5 é ""extremamente desafiador"", avalie o nível geral de desafio do seu papel como ponto focal","Em sua experiência, quais são os 3 principais desafios que você enfrenta como Ponto Focal?","E quais são as 3 principais facilidades ou melhores aspectos do seu papel como Ponto Focal?","Em uma escala de 1 a 5, onde 1 é ""Muito insatisfatório"" e 5 é ""Muito satisfatório"", avalie o processo de acolhimento dos beneficiários/trabalhadores educandos do PPE? jovens no seu orgão/instituição","O seu órgão possui protocolos ou diretrizes padronizadas para o acolhimento de novos beneficiários/trabalhadores educandos do PPE?","Em que medida você acredita que o processo de acolhimento contribui para a integração dos jovens na equipe de trabalho?","De que forma o jovem é geralmente inserido na cultura organizacional do seu orgão?","Em uma escala de 1 a 5, onde 1 é ""muito insatisfatório"" e 5 é ""muito satisfatório"", avalie a clareza e frequência da comunicação entre a entidade parceira do PPE, FLEM ou FESFSUS com você como Ponto Focal.","Quais canais de comunicação são mais frequentemente utilizados para contato entre você e a entidade parceira do PPE, FLEM ou FESFSUS","Com que frequência você acompanha o desempenho das atividades dos beneficiários/trabalhadores educandos em sua unidade? das atividades e do desempenho dos jovens em sua unidade?","Em uma escala de 1 a 5, onde 1 é ""nada desafiador"" e 5 é ""extremamente desafiador"", quão desafiador é obter informações sobre o desempenho e a permanência dos beneficiários/trabalhadores educandos no local de trabalho?","Os beneficiários/trabalhadores educandos do PPE são, em geral, proativos em suas atividades","A imaturidade dos beneficiários/trabalhadores educandos é um desafio para o acompanhamento pelo ponto focal","A maioria dos beneficiários/trabalhadores educandos do PPE tem clareza sobre seus objetivos profissionais","Os jovens beneficiários/trabalhadores educandos do PPE se adaptam bem à cultura do serviço público","Os beneficiários/trabalhadores educandos tem boa relação com os demais trabalhadores","Quais são suas principais sugestões para aprimorar o PPE, especialmente nas áreas de acolhimento, articulação, comunicação e acompanhamento?","Você identifica alguma ""inconformidade"" ou aspecto do PPE que precise de atenção urgente ou mudança estrutural? Se sim, por favor, descreva"
"2025/09/03 2:29:11 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Encaixar o PPE na área que ele mais tem afinidade, controle de demanda e falta de experiência dos mesmos","Orientação, acolhimento e empatia","5","Talvez","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","E-mail","Diariamente","3","5","4","3","4","4","Dialogo entre PPE e equipe.","Não"
"2025/09/03 3:10:00 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","Garantir a qualidade no aprendizado e auxiliar/orientar a inserção do jovem no mercado de trabalho e na capacitação profissional contínua.","Troca de experiencias, comunicação/dialogo constante, busca continua do conhecimento e no desenvolvimento das habilidades e na contribuição para melhorias e objetivos da empresa.","5","Não","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Whatsapp","Semanalmente","5","4","4","4","4","4","Promover ações de interação, trocas de experiencias, treinamentos/qualificações, criando espaços de diálogo entre ponto focal e o PPE. Ampliar as parcerias com empresas que possam oferecer oportunidades ao programa 1º emprego. ","NÃO"
"2025/09/03 4:43:38 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","4","Formação de postura, desenvolvimento gradual e segurança para desempenho no ambiente.","Desenvolvimento do conhecimento do jovem aprendiz, facilitador  do desenvolvimento das atividades e segurança das ferramentas para aprendizagem.","5","Talvez","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","5","E-mail","Diariamente","5","4","2","4","4","4","Tempo para seguir conhecendo e desempenho ","NENHUMA "
"2025/09/04 8:44:20 AM GMT-3","4","Articulação entre gestão central do PPE e o orgão","5","lidar com situações pessoais de cada beneficiário, distancia local moradia x local de trabalho, relação interpessoal entre beneficiário e profissionais locais, falta de etica profissional dos beneficiários","poder ajudar na inserção destes beneficiários no mercado de trabalho","5","Sim","Contribui significativamente","Acesso a materiais institucionais (manuais, guias, outros)","4","E-mail","Mensalmente","3","4","5","3","2","3","A plataforma AVA, segundo relatos dos PPE, têm conteudos repetitivos, cansativos. Sugestão: mudar a metodologia","Segundo relato dos PPEs, o acesso ao RH da FESF é limitado e confuso"
"2025/09/04 9:55:08 AM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Treinar os jovens para que se tornem bons profissionais, adequar escala com outros profissionais , estabelecer responsabilidade nos jovens, da sua função na área..","Compreensão em saber que estamos lidando com pessoas sem ou com pouca experiência, poder reconhecer nele uma possível mão-de-obra a ser aproveitada e acreditar que todos tem potencial.","5","Talvez","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Semanalmente","2","4","3","2","4","5","Aquisição de um celular próprio para o programa.","Acho que eles deveriam poder trabalhar em plantões, domingos e feriados."
"2025/09/04 10:21:13 AM GMT-3","4","Orientação e supervisão direta das atividades dos jovens","4","Nada a relatar ","Nada a relatar ","4","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Whatsapp","Semanalmente","4","4","2","3","4","4","O projeto fazer um acolhimento psicológico dos PPE ","Não "
"2025/09/04 10:25:16 AM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","5","O lidar com pessoas que não tem a compreensão do ''ser profissional'', falta de comunicação por parte da FESF e o tempo de contrato. ","Passagem de conhecimento, acolhimento e ponderação (como exPPE)","4","Sim","Contribui em alguma medida","Todas as opções acima","1","Whatsapp","Semanalmente","4","3","5","3","4","4","Diminuir quantidade de PPEs por monitores","Repasse de transporte e atenção as demandas dos PPES, por vezes os colaboradores ficam sem resposta e apoio."
"2025/09/04 10:45:21 AM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Ingerência sobre as substituições; Não ter datas de entrada definida; Falta de opção em escolha por formação especifica","Engajamento dos TE; Apoio e monitoramento do mediador e Projeto de melhoria ","5","Sim","É fundamental","Participação em eventos de integração","5","Whatsapp","Diariamente","2","3","5","3","3","4","Quando da avaliação de desempenho insatisfatoria ter opção de substituição; Informação da FESF ao Ponto focal em situação de ferias (hoje somos informados pelo TE); Comunicar ao ponto focal as datas de chegada dos novos.","Demora na confecção dos crachás e atraso de benefícios"
"2025/09/04 11:15:11 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","falta de recursos e tempo, a necessidade de lidar com diferentes níveis de comunicação ","centralização da comunicação e a responsabilidade pela gestão do conhecimento e processos dentro da  unidade,","5","Sim","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","5","E-mail","Diariamente","5","5","5","5","5","5","treinamento especificos na área de atuação ","não"
"2025/09/04 12:05:42 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Primeiro que não sei qual seria a atribuição de ponto focal e desconhecimento da proposta do programa e disponibilidade de tempo para acompanhar de forma mais efetiva","Boa relação interpessoal e integração no serviço ","4","Talvez","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","2","Tive um contato pessoal com a representante da FESF","Diariamente","3","5","2","4","5","5","Melhor articulação do projeto com o serviço, expectativa e objetivos ","Melhor articulação do projeto com o serviço, expectativa e objetivos "
"2025/09/04 2:36:09 PM GMT-3","3","Acolhimento e integração dos jovens","3","E fazer o jovem entender","são ","5","Não","Contribui significativamente","Apresentação formal à equipe","1","Whatsapp","Mensalmente","5","5","3","1","5","5","Deixar claro para PPE que serão aproveitados na area de sua formação e não onde se sinta confortável. ","Deixar claro para eles que serão dispensados com um ano de contrato,não deixando margem a esperanças de permanência. fazendo com que o PPE projete sua  viada para 2 anos e quando é dispensado com um ano fica ,com a mão na cabeça pedindo pra ser prorrogado o contrato e o ponto focal não pode fazer nada."
"2025/09/04 3:14:39 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","5","Garantir que o aprendizado técnico venha acompanhado do desenvolvimento comportamental( postura ética, trabalho em equipe, responsabilidade) / Mediar dificuldades relacionadas á hierarquia e ao convívio interpessoal / Conciliar interesses da empresa( resultados e postura profissional com os do PE( desenvolvimento, primeiras experiências)","O ponto focal aprimora habilidades de liderança, comunicação e organização/ Vivenciar de perto a evolução do jovem( técnica e comportamental) gera satisfação profissional / A função do ponto focal é estratégica e reforça o papel do profissional como referência dentro da instituição.","5","Sim","É fundamental","Apresentação formal à equipe","3","E-mail","Diariamente","5","5","1","4","5","5","Promover escuta qualificada, permitindo que o PPE exponha suas expectativas e inseguranças/ Promover rodas de conversas entre os PPE, gestores e formadores, visando alinhar expectativas / Utilizar ferramentas de comunicação adequadas( reuniões breves, e-mails formais, aplicativos institucionais).","Não identifico inconformidades"
"2025/09/04 3:14:48 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","Adaptação na realização das atividades propostas, amadurecimento profissional e trabalho com a equipe multiprofissional","Inovações no processo de trabalho, criatividade e disponibilidade para o amprendizado","5","Não","É fundamental","Participação em eventos de integração","5","Whatsapp","Semanalmente","2","5","4","4","5","4","Prática de escuta ativa, empatia/feedback e articulação com outras unidades institucionais","Alocar os jovens próximos a sua residência"
"2025/09/04 3:43:57 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","ATE O MOMENTO NAO TENHO","SOU PACIENTE , TENHO PRAZER EM ORIENTAR,","5","Sim","É fundamental","TODAS AS REPOSTAS ACIMA","5","RH DA INSTITUIÇÃO","Diariamente","2","5","2","5","5","5","PALESTRAS","NAO"
"2025/09/04 4:56:43 PM GMT-3","5","Acolhimento e integração dos jovens","3","Principalmente em se tratando deste grupo vigente, considero o uso do fardamento, crachá e o cumprimento dos prazos estabelecidos pela FESF referente a frequência e avaliações em geral.","Fazer parte do projeto, acompanhando e contribuir para o processo de amadurecimento e desenvolvimento profissional dos TE´s ","4","Sim","É fundamental","todas as resposta acima","4","E-mail, Whatsapp, telefone, reuniões presenciais.","As atividades laborais, funcionaisPor essa perspectiva, eles são acompanhados pelo representante do setor(chefia imediata).","3","4","4","4","3","3","Condição para o gestor da unidade avaliar o perfil do TE no acolhimento ou período de experiência antes de sua contratação","O Projeto é muito bem elaborado e executado. Porém como todo projeto, sempre está sujeito a ajustes ou alterações"
"2025/09/04 9:03:58 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","3","1. Poder ajudar em tudo que necessitam;
2. Ser austero quando necessário;
3. Tempo disponível para dedicar ao Projeto, sempre curto, em função das muitas atribuições ","1. Equilíbrio na condução dos processos de trabalho;
2. Respeito, amizade e profissionalismo com reciprocidade exigido nas relações de trabalho e interpessoais;
3. habilidade para negociar o que é possível, sem desrespeitar os direitos dos outros;","4","Sim","É fundamental","Acesso a materiais institucionais (manuais, guias, outros)","4","Whatsapp","Mensalmente","3","4","4","4","4","4","Mais frequência de visitas da supervisão à unidade
 no que concerne ao acompanhamento e comunicação  ","Nem todos são proativos e demonstram interesse em participar mais efetivamente. Talvez a seleção deva ser mais rigorosa, haja vista que já tivemos problema com TE, a ponto de desistir e ser desligada(o) antes do término do contrato."
"2025/09/05 8:18:26 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","1","a necessidade de garantir o alinhamento, tempo e a comunicação eficaz ","Função de porta-voz, acesso à informação e a Consistência.","5","Sim","É fundamental","Participação em eventos de integração","1","Pouco contato","Diariamente","1","5","3","3","5","5","sem sugestoes","nao"
"2025/09/05 9:46:55 AM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Gerenciamento de expectativas e comunicação, Equilíbrio de prioridades e Resolução de conflitos","Liderança participativa, proatividade e solucionar problemas","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","E-mail","Mensalmente","5","5","4","5","5","5","Manter o que está sendo feito com excelência ","Aumentar o quadro de PE na unidade."
"2025/09/05 10:32:26 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","3","Equilibrar prioridades e gerenciar expectativas, mantendo a comunicação clara e consistente, são desafios  importantes para mim, pois me permitem aprender e evoluir constantemente, seja na resolução de problemas, no aprimoramento da comunicação. ","Não centralização das Informações, me ajudam a oportunizar o  Aprendizado Contínuo e facilitando  a Colaboração entre a equpe","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","3","E-mail","Diariamente","3","5","2","4","5","5","Com base em na minha experiência, um dos principais desafios para aprimorar o PPE é manter uma comunicação clara e consistente. Para isso, sugiro a criação de canais de feedback bidirecional, a utilização de uma linguagem simples e a manutenção de protocolos claros de acolhimento. Essas ações são essenciais para fortalecer a articulação entre as equipes e garantir um acompanhamento mais eficaz, tornando o programa mais robusto e centrado nas pessoas","Não"
"2025/09/05 11:33:46 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","4","Falta de experiência, pro atividade, flexibilidade da escala","Fácil aprendizagem, bom relacionamento,","4","Talvez","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","3","Não tenho contato com a entidade parceira","Diariamente","4","2","5","2","4","5","Não tenho sugestão a dar","Não"
"2025/09/05 9:46:32 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","2","Nao participar da selecao/escolha dos colaboradores, afastamentos frequentes para eventos promovidos pela fesf, ","Facilidade de acesso aos responsáveis","5","Não","É fundamental","Apresentação formal à equipe","4","E-mail","Diariamente","1","5","4","4","3","4","O acolhimento juntamente com um preposto fesf","A participação do local de atuação/trabalho na selecao/escolha do jovem"
"2025/09/08 10:09:28 AM GMT-3","5","Acolhimento e integração dos jovens","3","cumprir multiplas demandas, lidar com as mudanças e comunicação clara.","agilidade na resolução de problemas e foco nas necessidades","5","Sim","É fundamental","Apresentação formal à equipe","5","E-mail","Diariamente","3","5","1","5","5","5","sem mais.","Aumentar o período do contrato e prorrogação do educando na unidade."
"2025/09/08 3:33:03 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Eu estou gerente do Setor Pessoal/RH do HELR, e diante ao grande fluxo de demandas das minhas atividades de rotina, vejo como desafio: acompanhamento mais próximo da evolução dos trabalhadores nos setores e conscientizar os trabalhadores sobre os cumprimentos de prazos e normas.","Acolher os trabalhadores quando chegam na unidade; Fazer a interlocução entre a unidade e o ponto focal da SESAB e FESF;  e ser a referência do PPE para eles na unidade.","4","Sim","É fundamental","O trabalhador PPE quando chega na unidade é acolhido no RH e passa por uma apresentação do histórico da unidade e os aspectos em Saúde Mental e fazemos ainda uma visita técnica nos setores da unidade.","4","na unidade temos uma sala da FESF  e a supervisora quase sempre está aqui","Não tenho uma frequência estabelecida, contudo sempre converso com as chefia imediatas sobre o desempenho dos trabalhadores e busco sempre estar proxima a eles e conversar sobre o desenvolvimento do trabalho","3","3","5","2","3","4","O PPE é muito bom, toda a estrutura e profissionais os quais tenho contato atendem bem as expectativas. Acredito que sobre o acompanhamento, poderia ser mais intensivo junto aos trabalhadores no sentido de estimular a melhoria do perfil profissional e comportamento institucional.","não identifico"
"2025/09/09 10:57:47 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","4","Acolher a diversidade de personalidades dos jovens. Estimular comprometimento. Incentivar boas relações interpessoais","Contribuir com o fortalecimento do aprendizado. Interagir com os jovens e suas expectativas. Colaborar com a formação de bons profissionais para o mercado de trabalho","4","Sim","Contribui significativamente","Participação em eventos de integração","4","Whatsapp","Diariamente","1","4","4","4","4","4","sem sugestão","não"
"2025/09/11 6:06:11 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","Interesse dos beneficiários, capacitação dos beneficiários, e as despedidas, quando eles ficam treinados vão embora. ","Apoio da gestão, a convivência com os jovens,  poder passar pra eles o funcionamento do serviço.","4","Não","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","2","Reuniões presenciais","Diariamente","5","5","5","3","5","5","Aqui na unidade o acolhimento é realizado em outra unidade,  é outro serviço completamente diferente, outra realidade o que tem impactado negativamente.","Aqui na unidade são os únicos profissionais que temos, se tirar fecha o serviço. "
